nombre,formato,precio,precio_ud/Kg/L,marca,categoria
toallitas bebe fres aloe vera carrefour 80 ud,80 ud,1.05,0.013125000000000001,carrefour baby,bebe
toallitas bebe fresh aloe vera carrefour baby 6x80 uds,6x80 ud,5.85,0.073125,carrefour baby,bebe
preparado lacteo infantil de crecimiento desde 12 meses puleva peques 3 sin gluten y sin lactosa y sin azucar anadido brik 1 l,brik 1 l,1.99,1.99,puleva,bebe
toallitas para bebe dodot basico 54 ud,54 ud,0.99,0.018333333333333333,dodot basico,bebe
preparado lacteo infantil de crecimiento con cereales desde 12 meses puleva peques 3 brik 1 l,brik 1 l,2.09,2.09,puleva,bebe
toallitas para bebe con aloe vera carrefour pack de 3 paquetes de 80 ud,pack de 3 paquetes de 80 ud,2.99,0.012458333333333333,carrefour baby,bebe
toallitas bebe carrefour piel atopica 63 uds,63 uds,1.78,0.028253968253968254,carrefour baby,bebe
toallitas infantil cara y manos baby natura 20 ud,20 ud,0.58,0.028999999999999998,Natura,bebe
bolsita de platano fresa y manzana hero solo sin gluten 100 g,100 g,1.14,11.399999999999999,hero,bebe
toallitas para bebe sin perfume carrefour baby 64 ud,64 ud,1.81,0.02828125,carrefour baby,bebe
preparado lacteo infantil de crecimiento desde 3 anos con galleta maria nestle nativa crecimiento junior brik 1 l,brik 1 l,2.39,2.39,nestle,bebe
toallitas pure aqua dodot 144 ud,144 ud,10.09,0.07006944444444445,dodot,bebe
leche infantil de continuacion desde 6 meses puleva peques 2 brik 1 l,brik 1 l,1.93,1.93,puleva,bebe
bolsita de naranja platano pera y galleta hero mi fruta sin azucar anadido 100 g,100 g,1.14,11.399999999999999,hero,bebe
tarrito de verduritas con pollo y ternera desde 6 meses hero baby sin gluten 235 g,235 g,1.75,7.446808510638299,hero,bebe
bolsita de platano pera y naranja ecologico hero solo sin gluten 100 g,100 g,1.62,16.2,hero solo,bebe
bolsita de fruta mediterranea mi futa hero sin gluten y sin azucar anadido 100 g,100 g,1.14,11.399999999999999,hero,bebe
bolsita yogurin con platano y fresa hero solo sin gluten y sin azucar anadido 100 g,100 g,1.14,11.399999999999999,hero,bebe
tarrito de arroz con pollo desde 6 meses hero solo sin gluten 235 g,235 g,1.75,7.446808510638299,hero,bebe
snack puffs maiz y avena ecologico hero solo 25 g,25 g,1.69,67.6,hero solo,bebe
preparado lacteo infantil de crecimiento con cereales y fruta desde 12 meses puleva peques 3 pack de 3 unidades de 200 ml,pack de 3 unidades de 200 ml,1.99,3.316666666666667,puleva,bebe
panales dodot sensitive t4 10 15 kg 48 ud,15 kg,31.49,2.099333333333333,dodot sensitive extra,bebe
gusanitos con fresa y platano ecologicos smileat sin gluten 25 g,25 g,1.58,63.2,smileat,bebe
toallitas carrefour baby milky x72,x72,1.37,0.01902777777777778,carrefour baby,bebe
