nombre,formato,precio,precio_ud/Kg/L,marca,categoria
velon rojo cilindro,1 paquete,1.2,1.2,Desconocida,bazar
velon blanco cilindro,1 paquete,1.2,1.2,Desconocida,bazar
papel regalo surtido rollo 70 cm x 2 m,x 2,1.15,1.15,Desconocida,bazar
molde desechable para magdalena,1 paquete,1.89,0.04,Desconocida,bazar
bol 11cm surtido oslo bidasoa 1 u,1 u,6.99,6.99,ADI,bazar
bol 50cl oslo bidasoa 1 u,50cl,3.49,3.49,ADI,bazar
copa 28cl bidasoa 1 u,28cl,4.49,4.49,ADI,bazar
fuente cuadrada 18cm bidasoa 1 u,1 u,3.99,3.99,ADI,bazar
fuente cuadrada 25cm bidasoa 1 u,1 u,7.49,7.49,ADI,bazar
fuente rectangular 20cm bidasoa 1 u,1 u,3.99,3.99,ADI,bazar
fuente rectangular 25cm bidasoa 1 u,1 u,4.99,4.99,ADI,bazar
"fuente rectangular 30,5c bidasoa 1 u",1 u,6.49,6.49,ADI,bazar
"jarra vidrio 1,4l tapa bidasoa 1 u","1,4l",7.49,7.49,ADI,bazar
mug 33cl surtido oslo bidasoa 1 u,33cl,4.49,4.49,ADI,bazar
plato 31cm azul bidasoa 1 u,1 u,9.99,9.99,ADI,bazar
plato hondo 20cm bidasoa 1 u,1 u,7.49,7.49,ADI,bazar
plato llano 27cm bidasoa 1 u,1 u,8.49,8.49,ADI,bazar
"plato postre 19,5cm bidasoa 1 u",1 u,6.49,6.49,ADI,bazar
s16 cubiertos bidasoa 16 u,16 u,21.99,1.37,ADI,bazar
s2 manteles indiv 38cm bidasoa 2 u,2 u,5.49,2.75,ADI,bazar
s2 panera fibra de papel bidasoa 2 u,2 u,9.99,5.0,ADI,bazar
s4 boles y ensaladera bidasoa 4 u,4 u,37.99,9.5,ADI,bazar
s4 cuchillo mantequero bidasoa 4 u,4 u,5.99,1.5,ADI,bazar
set tabla y cuchillos bidasoa 1 u,1 u,9.99,9.99,ADI,bazar
vaso 30cl bidasoa 1 u,30cl,4.49,4.49,ADI,bazar
aluminio albal 20cm 20 m,1 paquete,2.85,0.14,ALBAL,bazar
bolsas cubitos de hielo caja 20 u,20 u,1.99,0.1,ALBAL,bazar
