nombre,formato,precio,precio_ud/Kg/L,marca,categoria,subcategoria
"aceite de oliva 0,4º hacendado",Garrafa 5 L,18.75,3.75,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
"aceite de oliva 0,4º hacendado",Botella 1 L,3.85,3.85,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
aceite de oliva virgen extra hacendado,Garrafa 3 L,13.7,4.566666666666666,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
aceite de oliva virgen extra hacendado,Botella 1 L,4.65,4.65,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
aceite de oliva virgen extra hacendado gran seleccion,Botella 750 ml,5.95,7.933333333333334,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
aceite de oliva 1º hacendado,Garrafa 5 L,19.45,3.8899999999999997,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
aceite de oliva 1º hacendado,Botella 1 L,4.0,4.0,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
aceite de oliva virgen hacendado,Garrafa 3 L,11.75,3.9166666666666665,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
aceite de oliva virgen hacendado,Botella 1 L,4.1,4.1,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
aceite de oliva virgen extra hacendado,Spray 200 ml,2.8,13.999999999999998,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
aceite de oliva virgen extra picual casa juncal,Botella 500 ml,4.95,9.9,Casa Juncal,"aceite, especias y salsas","aceite, vinagre y sal"
vinagre de vino blanco hacendado,Botella 1 L,0.65,0.65,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
vinagre de manzana hacendado,Botella 1 L,0.9,0.9,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
limon exprimido hacendado,Botella 280 ml,1.05,3.75,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
crema de vinagre balsamico de modena hacendado,Botella 250 g,1.8,7.2,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
vinagre de jerez reserva hacendado,Botella 250 ml,2.0,8.0,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
reduccion balsamica de vinagre pedro ximenez hacendado,Botella 300 g,2.25,7.5,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
vinagre balsamico de modena hacendado,Botella 500 ml,2.35,4.7,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
"aceite de girasol refinado 0,2º hacendado",Garrafa 5 L,8.7,1.7399999999999998,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
"aceite de girasol refinado 0,2º hacendado",Botella 1 L,1.8,1.8,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
aceite de coco virgen hacendado,Bote 450 ml,5.45,12.11111111111111,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
sal fina hacendado,Paquete 1 kg,0.4,0.4,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
sal fina de mesa hacendado,Bote 300 g,0.75,2.5,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
sal yodada fina hacendado,Paquete 1 kg,0.45,0.45,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
sal gruesa hacendado,Paquete 1 kg,0.4,0.4,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
bicarbonato de sodio hacendado,Paquete 1 kg,1.45,1.45,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
bicarbonato de sodio hacendado,Bote 300 g,1.1,3.666666666666667,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
escamas de sal marina natural polasal,Bote 125 g,2.0,16.0,Polasal,"aceite, especias y salsas","aceite, vinagre y sal"
sal gruesa para hornear hacendado,Paquete 2 kg,1.4,0.7,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
sal de ajo hacendado,Bote 130 g,1.8,13.846153846153847,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
sal de frutas sabor limon hacendado,Bote 250 g,2.1,8.4,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
sal 60% menos de sodio hacendado,Bote 250 g,2.3,9.2,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
preparado para ahumar hacendado,Bote 750 g,3.3,4.3999999999999995,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
sal rosa del himalaya hacendado,Paquete 1 kg,2.65,2.65,Hacendado,"aceite, especias y salsas","aceite, vinagre y sal"
oregano hacendado,Bote 25 g,1.0,40.0,Hacendado,"aceite, especias y salsas",especias
perejil hacendado,Bote 18 g,0.9,50.00000000000001,Hacendado,"aceite, especias y salsas",especias
hoja de laurel hacendado,Paquete 12 g,0.85,70.83333333333333,Hacendado,"aceite, especias y salsas",especias
hierbas provenzales hacendado,Bote 25 g,1.2,47.99999999999999,Hacendado,"aceite, especias y salsas",especias
albahaca hacendado,Bote 20 g,1.25,62.5,Hacendado,"aceite, especias y salsas",especias
tomillo hacendado,Bote 24 g,1.05,43.75,Hacendado,"aceite, especias y salsas",especias
eneldo hacendado,Bote 18 g,1.85,102.77777777777779,Hacendado,"aceite, especias y salsas",especias
cilantro hacendado,Bote 12 g,1.85,154.16666666666666,Hacendado,"aceite, especias y salsas",especias
ajo y perejil hacendado,Bote 74 g,1.35,18.243243243243246,Hacendado,"aceite, especias y salsas",especias
romero hacendado,Bote 35 g,1.35,38.57142857142857,Hacendado,"aceite, especias y salsas",especias
colorante alimentario hacendado,Bote 85 g,0.95,11.176470588235293,Hacendado,"aceite, especias y salsas",especias
pimenton dulce hacendado,Bote 56 g,1.0,17.857142857142858,Hacendado,"aceite, especias y salsas",especias
pimenton dulce de la vera hacendado,Bote 75 g,1.85,24.666666666666668,Hacendado,"aceite, especias y salsas",especias
azafran molido hacendado,"Paquete 4 sobres (0,4 g)",1.8,0.45,Hacendado,"aceite, especias y salsas",especias
azafran hebra hacendado,"Paquete 0,4 g",1.85,4625.0,Hacendado,"aceite, especias y salsas",especias
pimenton picante hacendado,Bote 60 g,1.35,22.500000000000004,Hacendado,"aceite, especias y salsas",especias
pimenton dulce hacendado,Bote 75 g,1.3,17.333333333333336,Hacendado,"aceite, especias y salsas",especias
pimienta negra molida hacendado,Bote 70 g,1.3,18.57142857142857,Hacendado,"aceite, especias y salsas",especias
molinillo pimienta negra hacendado,Bote 65 g,1.85,28.461538461538463,Hacendado,"aceite, especias y salsas",especias
pimienta negra en grano hacendado,Bote 70 g,1.7,24.28571428571428,Hacendado,"aceite, especias y salsas",especias
molinillo mix pimientas hacendado,Bote 50 g,1.95,39.0,Hacendado,"aceite, especias y salsas",especias
pimienta blanca molida hacendado,Bote 70 g,2.3,32.857142857142854,Hacendado,"aceite, especias y salsas",especias
ajo granulado hacendado,Bote 115 g,1.2,10.43478260869565,Hacendado,"aceite, especias y salsas",especias
cebolla frita crujiente hacendado,Bote 150 g,1.15,7.666666666666666,Hacendado,"aceite, especias y salsas",especias
canela molida hacendado,Bote 52 g,1.0,19.23076923076923,Hacendado,"aceite, especias y salsas",especias
canela en rama hacendado,Bote 19 g,1.5,78.94736842105263,Hacendado,"aceite, especias y salsas",especias
comino molido hacendado,Bote 58 g,1.2,20.68965517241379,Hacendado,"aceite, especias y salsas",especias
comino en grano hacendado,Bote 56 g,1.95,34.82142857142857,Hacendado,"aceite, especias y salsas",especias
curry hacendado,Bote 57 g,1.3,22.80701754385965,Hacendado,"aceite, especias y salsas",especias
