item_name,item_id,item_ean,price,currency,item_brand,item_category,quantity,discount,archivo_origen,carpeta_origen,coupon,index,item_internal_id,item_list_name,item_provider,item_provider_type,item_shipping,item_sms,item_variant
toallitas-bebe-fres-aloe-vera-carrefour-80-ud,078675,3560071207687,1.05,EUR,carrefour-baby,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,1,2002916053,catalog,carrefour,carrefour,home_delivery|drive,078675,
toallitas-bebe-fresh-aloe-vera-carrefour-baby-6x80-uds,752063,3560070222780,5.85,EUR,carrefour-baby,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,2,2002618659,catalog,carrefour,carrefour,home_delivery|drive,752063,
preparado-lacteo-infantil-de-crecimiento-desde-12-meses-puleva-peques-3-sin-gluten-y-sin-lactosa-y-sin-azucar-anadido-brik-1-l,575835,8411700012217,1.99,EUR,puleva,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,3,2003043940,catalog,carrefour,carrefour,home_delivery|drive,575835,
toallitas-para-bebe-dodot-basico-54-ud,216376,8001090139504,0.99,EUR,dodot-basico,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,4,vc4a-2045483,catalog,carrefour,carrefour,home_delivery|drive,216376,
preparado-lacteo-infantil-de-crecimiento-con-cereales-desde-12-meses-puleva-peques-3-brik-1-l,705355,8411700012415,2.09,EUR,puleva,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,5,2003044008,catalog,carrefour,carrefour,home_delivery|drive,705355,
toallitas-para-bebe-con-aloe-vera-carrefour-pack-de-3-paquetes-de-80-ud,215632,3560071207533,2.99,EUR,carrefour-baby,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,6,prod1170077,catalog,carrefour,carrefour,home_delivery|drive,215632,
toallitas-bebe-carrefour-piel-atopica-63-uds,307840,3560071210991,1.78,EUR,carrefour-baby,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,7,590211529,catalog,carrefour,carrefour,home_delivery|drive,307840,
toallitas-infantil-cara-y-manos-baby-natura-20-ud,503725,8436029700621,0.58,EUR,,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,8,vc4aecomm-503725,catalog,carrefour,carrefour,home_delivery|drive,503725,
bolsita-de-platano-fresa-y-manzana-hero-solo-sin-gluten-100-g,017014,8410175036575,1.14,EUR,hero,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,9,2003043772,catalog,carrefour,carrefour,home_delivery|drive,017014,
toallitas-para-bebe-sin-perfume-carrefour-baby-64-ud,429180,3560071318710,1.81,EUR,carrefour-baby,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,10,vc4aecomm-429180,catalog,carrefour,carrefour,home_delivery|drive,429180,
preparado-lacteo-infantil-de-crecimiento-desde-3-anos-con-galleta-maria-nestle-nativa-crecimiento-junior-brik-1-l,282306,7613033640513,2.39,EUR,nestle,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,11,2003043852,catalog,carrefour,carrefour,home_delivery|drive,282306,
toallitas-pure-aqua-dodot-144-ud,178532,8006540836255,10.09,EUR,dodot,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,directo/sobre-producto/_50-que-vuelve,12,vc4aecomm-178532,catalog,carrefour,carrefour,home_delivery|drive,178532,
