URL,GrupoPrincipal,NombreCategoria
https://tienda.mercadona.es/categories/112,"Aceite, especias y salsas","Aceite, vinagre y sal"
https://tienda.mercadona.es/categories/115,"Aceite, especias y salsas",Especias
https://tienda.mercadona.es/categories/116,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
https://tienda.mercadona.es/categories/117,"Aceite, especias y salsas",Otras salsas
https://tienda.mercadona.es/categories/156,Agua y refrescos,Agua
https://tienda.mercadona.es/categories/163,Agua y refrescos,Isotónico y energético
https://tienda.mercadona.es/categories/158,Agua y refrescos,Refresco de cola
https://tienda.mercadona.es/categories/159,Agua y refrescos,Refresco de naranja y de limón
https://tienda.mercadona.es/categories/161,Agua y refrescos,Tónica y bitter
https://tienda.mercadona.es/categories/162,Agua y refrescos,Refresco de té y sin gas
https://tienda.mercadona.es/categories/135,Aperitivos,Aceitunas y encurtidos
https://tienda.mercadona.es/categories/133,Aperitivos,Frutos secos y fruta desecada
https://tienda.mercadona.es/categories/132,Aperitivos,Patatas fritas y snacks
https://tienda.mercadona.es/categories/118,"Arroz, legumbres y pasta",Arroz
https://tienda.mercadona.es/categories/121,"Arroz, legumbres y pasta",Legumbres
https://tienda.mercadona.es/categories/120,"Arroz, legumbres y pasta",Pasta y fideos
https://tienda.mercadona.es/categories/89,"Azúcar, caramelos y chocolate",Azúcar y edulcorante
https://tienda.mercadona.es/categories/95,"Azúcar, caramelos y chocolate",Chicles y caramelos
https://tienda.mercadona.es/categories/92,"Azúcar, caramelos y chocolate",Chocolate
https://tienda.mercadona.es/categories/97,"Azúcar, caramelos y chocolate",Golosinas
https://tienda.mercadona.es/categories/90,"Azúcar, caramelos y chocolate",Mermelada y miel
https://tienda.mercadona.es/categories/833,"Azúcar, caramelos y chocolate",Turrones
https://tienda.mercadona.es/categories/216,Bebé,Alimentación infantil
https://tienda.mercadona.es/categories/219,Bebé,Biberón y chupete
https://tienda.mercadona.es/categories/218,Bebé,Higiene y cuidado
https://tienda.mercadona.es/categories/217,Bebé,Toallitas y pañales
https://tienda.mercadona.es/categories/164,Bodega,Cerveza
https://tienda.mercadona.es/categories/166,Bodega,Cerveza sin alcohol
https://tienda.mercadona.es/categories/181,Bodega,Licores
https://tienda.mercadona.es/categories/174,Bodega,Sidra y cava
https://tienda.mercadona.es/categories/168,Bodega,Tinto de verano y sangría
https://tienda.mercadona.es/categories/170,Bodega,Vino blanco
https://tienda.mercadona.es/categories/173,Bodega,Vino lambrusco y espumoso
https://tienda.mercadona.es/categories/171,Bodega,Vino rosado
https://tienda.mercadona.es/categories/169,Bodega,Vino tinto
https://tienda.mercadona.es/categories/86,"Cacao, café e infusiones",Cacao soluble y chocolate a la taza
https://tienda.mercadona.es/categories/81,"Cacao, café e infusiones",Café cápsula y monodosis
https://tienda.mercadona.es/categories/83,"Cacao, café e infusiones",Café molido y en grano
https://tienda.mercadona.es/categories/84,"Cacao, café e infusiones",Café soluble y otras bebidas
https://tienda.mercadona.es/categories/88,"Cacao, café e infusiones",Té e infusiones
https://tienda.mercadona.es/categories/46,Carne,Arreglos
https://tienda.mercadona.es/categories/38,Carne,Aves y pollo
https://tienda.mercadona.es/categories/47,Carne,Carne congelada
https://tienda.mercadona.es/categories/37,Carne,Cerdo
https://tienda.mercadona.es/categories/42,Carne,Conejo y cordero
https://tienda.mercadona.es/categories/43,Carne,Embutido
https://tienda.mercadona.es/categories/44,Carne,Hamburguesas y picadas
https://tienda.mercadona.es/categories/40,Carne,Vacuno
https://tienda.mercadona.es/categories/45,Carne,Empanados y elaborados
https://tienda.mercadona.es/categories/78,Cereales y galletas,Cereales
https://tienda.mercadona.es/categories/80,Cereales y galletas,Galletas
https://tienda.mercadona.es/categories/79,Cereales y galletas,Tortitas
https://tienda.mercadona.es/categories/48,Charcutería y quesos,Aves y jamón cocido
https://tienda.mercadona.es/categories/52,Charcutería y quesos,Bacón y salchichas
https://tienda.mercadona.es/categories/49,Charcutería y quesos,Chopped y mortadela
https://tienda.mercadona.es/categories/51,Charcutería y quesos,Embutido curado
https://tienda.mercadona.es/categories/50,Charcutería y quesos,Jamón serrano
https://tienda.mercadona.es/categories/58,Charcutería y quesos,Paté y sobrasada
https://tienda.mercadona.es/categories/54,Charcutería y quesos,"Queso curado, semicurado y tierno"
https://tienda.mercadona.es/categories/56,Charcutería y quesos,"Queso lonchas, rallado y en porciones"
https://tienda.mercadona.es/categories/53,Charcutería y quesos,Queso untable y fresco
https://tienda.mercadona.es/categories/147,Congelados,Arroz y pasta
https://tienda.mercadona.es/categories/148,Congelados,Carne
https://tienda.mercadona.es/categories/154,Congelados,Helados
https://tienda.mercadona.es/categories/155,Congelados,Hielo
https://tienda.mercadona.es/categories/150,Congelados,Marisco
https://tienda.mercadona.es/categories/149,Congelados,Pescado
https://tienda.mercadona.es/categories/151,Congelados,Pizzas
https://tienda.mercadona.es/categories/884,Congelados,Rebozados
https://tienda.mercadona.es/categories/152,Congelados,Tartas y churros
https://tienda.mercadona.es/categories/145,Congelados,Verdura
https://tienda.mercadona.es/categories/122,"Conservas, caldos y cremas",Atún y otras conservas de pescado
https://tienda.mercadona.es/categories/123,"Conservas, caldos y cremas",Berberechos y mejillones
https://tienda.mercadona.es/categories/127,"Conservas, caldos y cremas",Conservas de verdura y frutas
https://tienda.mercadona.es/categories/130,"Conservas, caldos y cremas",Gazpacho y cremas
